roadnumber	country
DF-435	Brasil
DF-440	Brasil
DF-445	Brasil
DF-450	Brasil
DF-455	Brasil
DF-460	Brasil
DF-463	Brasil
DF-465	Brasil
DF-473	Brasil
DF-475	Brasil
DF-480	Brasil
DF-483	Brasil
DF-495	Brasil
ERS-020	Brasil
ERS-030	Brasil
ERS-040	Brasil
ERS-110	Brasil
ERS-115	Brasil
ERS-118	Brasil
ERS-122	Brasil
ERS-124	Brasil
ERS-126	Brasil
ERS-130	Brasil
ERS-176	Brasil
ERS-235	Brasil
ERS-239	Brasil
ERS-344	Brasil
ERS-389	Brasil
ERS-404	Brasil
ERS-413	Brasil
ERS-421	Brasil
ERS-424	Brasil
ERS-441	Brasil
ERS-444	Brasil
ERS-452	Brasil
ERS-466	Brasil
ERS-484	Brasil
ERS-486	Brasil
ERS-536	Brasil
ERS-699	Brasil
ERS-737	Brasil
ERS-762	Brasil
ERS-784	Brasil
ERS-786	Brasil
ERS-833	Brasil
ES-001	Brasil
ES-010	Brasil
ES-060	Brasil
ES-080	Brasil
ES-101	Brasil
ES-124	Brasil
ES-130	Brasil
ES-137	Brasil
ES-146	Brasil
ES-162	Brasil
ES-164	Brasil
ES-165	Brasil
ES-166	Brasil
ES-177	Brasil
ES-181	Brasil
ES-185	Brasil
ES-190	Brasil
ES-209	Brasil
ES-220	Brasil
ES-245	Brasil
ES-248	Brasil
ES-257	Brasil
ES-260	Brasil
ES-261	Brasil
ES-264	Brasil
ES-289	Brasil
ES-297	Brasil
ES-313	Brasil
ES-315	Brasil
ES-320	Brasil
ES-334	Brasil
ES-341	Brasil
ES-344	Brasil
ES-355	Brasil
ES-356	Brasil
ES-358	Brasil
ES-360	Brasil
ES-368	Brasil
ES-375	Brasil
ES-376	Brasil
ES-379	Brasil
ES-381	Brasil
ES-383	Brasil
ES-387	Brasil
ES-388	Brasil
ES-391	Brasil
ES-405	Brasil
ES-410	Brasil
ES-413	Brasil
ES-418	Brasil
ES-421	Brasil
ES-422	Brasil
ES-423	Brasil
ES-426	Brasil
ES-428	Brasil
ES-429	Brasil
ES-430	Brasil
ES-432	Brasil
ES-434	Brasil
ES-436	Brasil
ES-440	Brasil
ES-446	Brasil
ES-448	Brasil
ES-450	Brasil
ES-452	Brasil
ES-460	Brasil
ES-462	Brasil
ES-463	Brasil
ES-465	Brasil
ES-470	Brasil
ES-471	Brasil
ES-473	Brasil
ES-475	Brasil
ES-476	Brasil
ES-477	Brasil
ES-479	Brasil
ES-482	Brasil
ES-483	Brasil
ES-484	Brasil
ES-485	Brasil
ES-487	Brasil
ES-489	Brasil
ES-490	Brasil
ES-491	Brasil
ES-495	Brasil
G0-505	Brasil
GO-004	Brasil
GO-010	Brasil
GO-015	Brasil
GO-019	Brasil
GO-020	Brasil
GO-038	Brasil
GO-040	Brasil
GO-050	Brasil
GO-060	Brasil
GO-070	Brasil
GO-080	Brasil
GO-108	Brasil
GO-110	Brasil
GO-112	Brasil
GO-114	Brasil
GO-116	Brasil
GO-118	Brasil
GO-132	Brasil
GO-139	Brasil
GO-142	Brasil
GO-145	Brasil
GO-147	Brasil
GO-151	Brasil
GO-154	Brasil
GO-156	Brasil
GO-158	Brasil
GO-160	Brasil
GO-164	Brasil
GO-1640	Brasil
GO-173	Brasil
GO-174	Brasil
GO-176	Brasil
GO-178	Brasil
GO-184	Brasil
GO-188	Brasil
GO-194	Brasil
GO-206	Brasil
GO-210	Brasil
GO-213	Brasil
GO-215	Brasil
GO-217	Brasil
GO-219	Brasil
GO-220	Brasil
GO-221	Brasil
GO-222	Brasil
GO-225	Brasil
GO-230	Brasil
GO-236	Brasil
GO-237	Brasil
GO-238	Brasil
GO-239	Brasil
GO-241	Brasil
GO-244	Brasil
GO-251	Brasil
GO-256	Brasil
GO-301	Brasil
GO-302	Brasil
GO-303	Brasil
GO-305	Brasil
GO-307	Brasil
GO-309	Brasil
GO-319	Brasil
GO-320	Brasil
GO-324	Brasil
GO-326	Brasil
GO-330	Brasil
GO-333	Brasil
GO-334	Brasil
GO-336	Brasil
GO-338	Brasil
GO-341	Brasil
GO-346	Brasil
GO-347	Brasil
GO-352	Brasil
GO-353	Brasil
GO-362	Brasil
GO-367	Brasil
GO-381	Brasil
GO-401	Brasil
GO-402	Brasil
GO-403	Brasil
GO-405	Brasil
GO-412	Brasil
GO-413	Brasil
GO-415	Brasil
GO-416	Brasil
GO-418	Brasil
GO-419	Brasil
GO-423	Brasil
GO-426	Brasil
GO-427	Brasil
GO-428	Brasil
GO-429	Brasil
GO-430	Brasil
GO-431	Brasil
GO-433	Brasil
GO-435	Brasil
GO-436	Brasil
GO-437	Brasil
GO-440	Brasil
GO-443	Brasil
GO-445	Brasil
GO-446	Brasil
GO-447	Brasil
GO-448	Brasil
GO-451	Brasil
GO-452	Brasil
GO-453	Brasil
GO-454	Brasil
GO-457	Brasil
GO-459	Brasil
GO-462	Brasil
GO-465	Brasil
GO-481	Brasil
GO-486	Brasil
GO-498	Brasil
GO-501	Brasil
GO-506	Brasil
GO-507	Brasil
GO-509	Brasil
GO-511	Brasil
GO-515	Brasil
GO-516	Brasil
GO-520	Brasil
GO-521	Brasil
GO-522	Brasil
GO-525	Brasil
GO-527	Brasil
GO-528	Brasil
GO-529	Brasil
GO-530	Brasil
GO-532	Brasil
GO-536	Brasil
GO-537	Brasil
GO-538	Brasil
GO-573	Brasil
GO 468	Brasil
JSG-010	Brasil
LMG-677	Brasil
LMG-679	Brasil
LMG-748	Brasil
LMG-800	Brasil
LMG-808	Brasil
LMG-850	Brasil
LMG-867	Brasil
MA-006	Brasil
MA-008	Brasil
MA-012	Brasil
MA-014	Brasil
MA-020	Brasil
MA-025	Brasil
MA-026	Brasil
MA-034	Brasil
MA-036	Brasil
MA-040	Brasil
MA-048	Brasil
MA-072	Brasil
MA-101	Brasil
MA-106	Brasil
MA-110	Brasil
MA-119	Brasil
